"RuleCollectionGroupName","RuleCollectionName","RuleName","RuleType","SourceAddress","SourceIpGroups","DestinationAddress","DestinationIpGroups","Protocols","DestinationPorts"
"UKS_RemoteSites_Traffic","RemoteSites_Inbound_UKS","RemoteSites_Inbound_UKS","NetworkRule","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Belfast-LAN-IP /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Cardiff-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Dublin-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/HongKong-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/London-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Oxford-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Manchester-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Leeds-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Glasgow-IP-LAN","","/subscriptions/9a611467-2505-49e1-ae2e-d9c440d1391f/resourceGroups/LS-UKS-DEVTEST-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-DEVTEST-IP-ALLPROD /subscriptions/3f560080-9ada-4338-a5ca-29b4fe707fe5/resourceGroups/LS-UKW-DR-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKW-PRD-IP-ALLPROD-01 /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-ALL-01 /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-ALLPROD-01","Any","*"
"UKS_RemoteSites_Traffic","RemoteSites_Inbound_UKS","UKS_Outbound_RemoteSites","NetworkRule","","/subscriptions/9a611467-2505-49e1-ae2e-d9c440d1391f/resourceGroups/LS-UKS-DEVTEST-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-DEVTEST-IP-ALLPROD /subscriptions/3f560080-9ada-4338-a5ca-29b4fe707fe5/resourceGroups/LS-UKW-DR-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKW-PRD-IP-ALLPROD-01 /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-ALL-01 /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-ALLPROD-01","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Belfast-LAN-IP /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Cardiff-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Dublin-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/HongKong-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/London-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Oxford-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Manchester-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Leeds-IP-LAN /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/Glasgow-IP-LAN","Any","*"
"UKS_RemoteSites_Traffic","RemoteSites_Inbound_UKS","SCCManagement_Inbound_UKS","NetworkRule","80.86.34.128/25","","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-ALL-01 /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-ALLPROD-01","Any","*"
"UKS_RemoteSites_Traffic","RemoteSites_Inbound_UKS","UKS_Outbound_SCCManagement","NetworkRule","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-ALL-01 /subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-ALLPROD-01","80.86.34.128/25","","Any","*"
"UKS_WAF_Rules_Col_01","WAF_Internet","WAF_Outbound","NetworkRule","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-WAF-01","*","","TCP UDP","8443 443"
"UKS_WAF_Rules_Col_01","WAF_Internet","WAF_Inbound","NetworkRule","*","","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/UKS-PRD-IP-WAF-01","TCP UDP","8443 443"
"UKS_WAF_Rules_Col_01","UKS_WAF_DNAT_Col_Rules_01","UKS_WAF_LSDC02_HTTPS_VIP","NatRule","","/subscriptions/16960b6e-7ecc-4448-ab3c-901401f85f19/resourceGroups/LS-UKS-PRD-RSG-NETWORKS/providers/Microsoft.Network/ipGroups/LS-Mimecast-IP-RANGES","51.143.137.141","","TCP","636"
"UKS_WAF_Rules_Col_01","UKS_WAF_DNAT_Col_Rules_01","UKS_WAF_LSBHMB01_HTTPS","NatRule","*","","51.145.35.65","","TCP","443"
"UKS_WAF_Rules_Col_01","UKS_WAF_DNAT_Col_Rules_01","UKS_WAF_FS_HTTPS","NatRule","*","","51.145.24.120","","TCP","443"
"UKS_WAF_Rules_Col_01","UKS_WAF_DNAT_Col_Rules_01","UKS_WAF_EXTRANET_HTTPS","NatRule","*","","51.145.38.29","","TCP","443"
